t, y
3.625, 1.85143e-132
3.64062, 5.01318e-133
3.65625, 1.35743e-133
3.67188, 3.67556e-134
3.6875, 9.95243e-135
3.70312, 2.69485e-135
3.71875, 7.29692e-136
3.73438, 1.97581e-136
3.75, 5.34996e-137
3.76562, 1.44862e-137
3.78125, 3.92248e-138
3.79688, 1.0621e-138
3.8125, 2.87588e-139
3.82812, 7.78711e-140
3.84375, 2.10854e-140
3.85938, 5.70935e-141
3.875, 1.54594e-141
3.89062, 4.18598e-142
3.90625, 1.13345e-142
3.92188, 3.06908e-143
3.9375, 8.31023e-144
3.95312, 2.25019e-144
3.96875, 6.09289e-145
3.98438, 1.64979e-145
4, 4.46719e-146
4.01562, 1.20959e-146
4.03125, 3.27525e-147
4.04688, 8.8685e-148
4.0625, 2.40135e-148
4.07812, 6.5022e-149
4.09375, 1.76062e-149
4.10938, 4.76728e-150
4.125, 1.29085e-150
4.14062, 3.49528e-151
4.15625, 9.46426e-152
4.17188, 2.56267e-152
4.1875, 6.939e-153
4.20312, 1.87889e-153
4.21875, 5.08754e-154
4.23438, 1.37757e-154
4.25, 3.73008e-155
4.26562, 1.01e-155
4.28125, 2.73482e-156
4.29688, 7.40515e-157
4.3125, 2.00511e-157
4.32812, 5.42931e-158
4.34375, 1.47011e-158
4.35938, 3.98066e-159
4.375, 1.07785e-159
4.39062, 2.91854e-160
4.40625, 7.90261e-161
4.42188, 2.13981e-161
4.4375, 5.79404e-162
4.45312, 1.56887e-162
4.46875, 4.24807e-163
4.48438, 1.15026e-163
4.5, 3.1146e-164
4.51562, 8.43349e-165
4.53125, 2.28356e-165
4.54688, 6.18327e-166
4.5625, 1.67426e-166
4.57812, 4.53345e-167
4.59375, 1.22753e-167
4.60938, 3.32383e-168
4.625, 9.00004e-169
4.64062, 2.43697e-169
4.65625, 6.59864e-170
4.67188, 1.78673e-170
4.6875, 4.83799e-171
4.70312, 1.31e-171
4.71875, 3.54712e-172
4.73438, 9.60464e-173
4.75, 2.60068e-173
4.76562, 7.04193e-174
4.78125, 1.90676e-174
4.79688, 5.163e-175
4.8125, 1.398e-175
4.82812, 3.78541e-176
4.84375, 1.02499e-176
4.85938, 2.77538e-177
4.875, 7.51499e-178
4.89062, 2.03486e-178
4.90625, 5.50984e-179
4.92188, 1.49191e-179
4.9375, 4.0397e-180
4.95312, 1.09384e-180
4.96875, 2.96183e-181
4.98438, 8.01983e-182
5, 2.17155e-182
5.01562, 5.87998e-183
5.03125, 1.59214e-183
5.04688, 4.31108e-184
5.0625, 1.16732e-184
5.07812, 3.1608e-185
5.09375, 8.55858e-186
5.10938, 2.31743e-186
5.125, 6.27498e-187
5.14062, 1.69909e-187
5.15625, 4.60069e-188
5.17188, 1.24574e-188
5.1875, 3.37313e-189
5.20312, 9.13353e-190
5.21875, 2.47311e-190
5.23438, 6.69652e-191
5.25, 1.81324e-191
5.26562, 4.90975e-192
5.28125, 1.32943e-192
5.29688, 3.59973e-193
5.3125, 9.7471e-194
