t, y
0, 2
0.025, 2.02531
0.05, 2.05125
0.075, 2.07781
0.1, 2.105
0.125, 2.13281
0.15, 2.16125
0.175, 2.19031
0.2, 2.22
0.225, 2.25031
0.25, 2.28125
0.275, 2.31281
0.3, 2.345
0.325, 2.37781
0.35, 2.41125
0.375, 2.44531
0.4, 2.48
0.425, 2.51531
0.45, 2.55125
0.475, 2.58781
0.5, 2.625
0.525, 2.66281
0.55, 2.70125
0.575, 2.74031
0.6, 2.78
0.625, 2.82031
0.65, 2.86125
0.675, 2.90281
0.7, 2.945
0.725, 2.98781
0.75, 3.03125
0.775, 3.07531
0.8, 3.12
0.825, 3.16531
0.85, 3.21125
0.875, 3.25781
0.9, 3.305
0.925, 3.35281
0.95, 3.40125
0.975, 3.45031
1, 3.5
